round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32550955,2.94,4266343.81,2052447.5000000002,-2213896.3099999996,1.8572727272727272,116,11
32550985,3.94,7378685.819999999,7615067.52,236381.7000000002,2.206875,109,16
32551023,34.45,6128192.100000003,18530682.319999997,12402490.219999993,3.8756666666666666,97,30
32551063,3.63,6851610.140000001,9654699.749999998,2803089.6099999975,2.1763157894736844,89,19
32551159,1.22,4828503.210000002,0,-4828503.210000002,0,102,0
32551201,1.22,3522666.8399999994,241521.95,-3281144.889999999,1.05,108,2
32551233,1.12,5111729.249999998,102180.83,-5009548.419999998,1.01,112,1
32551255,1.2,4424133.690000001,53927.31,-4370206.380000002,1.08,119,1
32551280,4.29,4631448.9700000025,4760874.220000001,129425.24999999814,2.271,116,20
32551311,3.78,8201814.500000003,11416574.870000003,3214760.37,2.159,95,20
32551354,1.9,9001161.450000001,5295077.26,-3706084.1900000013,1.28,117,6
32551396,11.54,6838900.200000001,18046098.269999996,11207198.069999995,2.987241379310345,113,29
32551431,1.63,6749868.8500000015,567043.49,-6182825.360000001,1.38,92,1
32551482,5.57,6733175.69,14077207.740000004,7344032.050000004,3.2376,115,25
32551514,1.07,5416529.41,0,-5416529.41,0,108,0
32551557,7.65,5623370.600000001,14999742.34,9376371.739999998,3.188,111,30
32551582,16.85,7951858.0,20757135.71000001,12805277.710000008,3.5389999999999997,100,30
32551634,3.04,8278261.75,8429415.629999999,151153.87999999896,1.9,73,11
32551702,1,7339169.579999998,0,-7339169.579999998,0,120,0
32551738,1.93,7131686.399999999,2410542.31,-4721144.09,1.3499999999999999,121,4
32551760,2.3,5746713.359999999,4935550.319999999,-811163.04,1.6800000000000002,112,16
32551791,1.18,10372574.62,2289172.87,-8083401.749999999,1.06,108,1
32551826,2.35,9817334.179999998,6710656.819999998,-3106677.3599999994,1.535,120,12
32551856,1.79,10894077.189999998,2909158.4600000004,-7984918.729999997,1.3287499999999999,113,8
32551889,7.27,12868389.689999998,26979096.719999995,14110707.029999997,2.924827586206897,115,29
32551920,1.41,8392828.64,57160.56,-8335668.080000001,1.13,101,1
32551970,1.1,10900820.020000001,0,-10900820.020000001,0,114,0
32551992,1.03,5322315.5,0,-5322315.5,0,118,0
32552020,2.09,5770521.590000001,1114820.52,-4655701.07,1.4271428571428573,112,7
32552045,3.48,11208979.969999997,17247629.740000002,6038649.770000005,2.1159090909090907,113,22
32552084,2.39,11234747.119999994,6549159.98,-4685587.139999993,1.5619999999999998,113,10
32552123,1.07,11698763.700000003,0,-11698763.700000003,0,109,0
32552159,2.5,10883417.819999993,9917146.35,-966271.4699999932,1.6700000000000002,114,13
32552181,2.02,9603116.989999996,9170150.989999998,-432965.99999999814,1.6484615384615384,102,13
32552218,1.15,11132264.05,68243.95,-11064020.100000001,1.08,112,1
32552247,1.2,6436561.759999999,0,-6436561.759999999,0,125,0
32552272,3.75,8689877.960000005,12087130.329999998,3397252.3699999936,2.117142857142857,107,21
32552300,5.37,10711862.73,24058721.719999995,13346858.989999995,2.5707692307692307,107,26
32552343,7.31,12118313.130000003,22946831.430000003,10828518.3,2.8046428571428565,112,28
32552387,5.23,8304295.700000003,15664271.33,7359975.629999997,2.6919999999999997,92,25
32552441,1.15,8888989.040000001,0,-8888989.040000001,0,105,0
32552492,4.22,6003418.1499999985,10624594.959999999,4621176.8100000005,2.5925000000000002,105,20
32552516,26.62,7699692.67,17371584.79,9671892.12,3.407333333333333,98,30
32552558,1.17,7683143.369999999,0,-7683143.369999999,0,85,0
32552640,1.27,5430330.069999999,112063.54,-5318266.529999999,1.18,112,2
32552665,1.85,3157251.650000001,495326.75,-2661924.900000001,1.4019999999999997,122,5
32552693,1.06,6957329.030000002,233299.36,-6724029.670000002,1.0,114,1
32552726,1.07,15374438.900000008,0,-15374438.900000008,0,121,0
32552752,1.42,14514170.909999996,236891.78,-14277279.129999997,1.185,118,2
32552777,1.34,16766719.56,380330.04,-16386389.520000001,1.17,111,1
32552803,1.15,17452683.380000003,242609.43,-17210073.950000003,1.08,115,1
32552839,5.97,15082703.860000005,17558715.91,2476012.049999995,2.6151851851851857,115,27
32552863,2.32,19645316.320000004,9573716.08,-10071600.240000004,1.685833333333333,109,12
32552913,8.19,17069066.750000004,23121813.660000004,6052746.91,2.8524137931034486,111,29
32552946,4.67,18715279.58,21970024.17,3254744.5900000036,2.2295454545454545,92,22
32552999,1.53,18805299.629999995,862412.6699999999,-17942886.959999993,1.36,106,3
