timestamp,round_id,crash_point
1747082794.4771738,32568132,1.25
1747082811.0053422,32568172,1.89
1747082831.9082303,32568200,3.68
1747082864.4035313,32568234,13.07
1747082877.5412064,32568283,1.17
1747082899.1929965,32568340,4.08
1747082913.6783764,32568366,1.39
1747082929.658457,32568416,1.74
1747082944.5314798,32568443,1.47
1747082957.759095,32568473,1.18
1747082976.2805262,32568503,2.59
1747083000.6712608,32568527,5.79
1747083020.881997,32568563,3.34
1747083059.3190422,32568609,20.45
1747083089.6805077,32568652,10.84
1747083104.5849974,32568724,1.48
1747083121.5414608,32568783,2.02
1747083138.8414814,32568813,2.14
1747083155.8351047,32568850,2.04
1747083169.4120188,32568885,1.23
1747083200.6100686,32568921,11.64
1747083215.3745444,32568942,1.45
1747083240.0946324,32568995,5.98
1747083279.4189138,32569025,21.72
1747083295.7681293,32569074,1.81
1747083307.2188087,32569151,1.02
1747083322.9545882,32569174,1.67
1747083340.479585,32569198,2.2
1747083360.195101,32569229,3.1
1747083373.324451,32569270,1.17
1747083384.9905906,32569306,1.03
1747083400.1013384,32569331,1.52
1747083417.2564955,32569354,2.05
1747083438.587964,32569387,3.9
1747083453.6545568,32569420,1.51
1747083468.041235,32569462,1.37
1747083480.3972144,32569495,1.08
1747083493.7031798,32569519,1.19
1747083509.617856,32569543,1.72
1747083522.051998,32569571,1.09
1747083537.7023718,32569603,1.63
1747083579.3937047,32569626,25.36
1747083596.6400332,32569655,2.13
1747083622.7947092,32569743,7.1
1747083636.7916691,32569779,1.3
1747083654.856301,32569826,2.39
1747083675.8958344,32569853,3.75
1747083688.1176343,32569888,1.07
1747083704.3243804,32569930,1.8
1747083720.1325812,32569952,1.69
1747083746.6063244,32569986,7.33
1747083758.9227207,32570016,1.08
1747083799.263702,32570068,23.17
1747083819.2709332,32570091,3.24
1747083846.9964828,32570174,8.37
1747083865.9548242,32570209,2.78
1747083892.7299397,32570261,7.59
1747083904.5194373,32570298,1.04
1747083915.081257,32570350,1
1747083948.5253818,32570373,14.04
1747083977.476404,32570393,9.44
1747084001.6987042,32570449,5.69
1747084013.5034425,32570509,1.04
1747084051.841076,32570554,20.23
1747084067.9305959,32570579,1.77
1747084078.5234697,32570647,1
1747084094.677237,32570680,1.78
